iter	Passed	Remaining
402	12864	19057
403	12901	19032
404	12939	19009
405	12974	18982
406	13008	18953
407	13042	18924
408	13077	18896
409	13111	18868
410	13146	18840
411	13182	18813
412	13215	18783
413	13248	18752
414	13288	18731
415	13330	18714
416	13369	18691
417	13404	18663
418	13443	18641
419	13478	18613
420	13512	18584
421	13547	18555
422	13591	18540
423	13626	18511
424	13657	18478
425	13688	18443
426	13719	18410
427	13750	18376
428	13780	18342
429	13811	18308
430	13841	18273
431	13873	18240
432	13902	18204
433	13932	18170
434	13964	18137
435	13994	18102
436	14024	18068
437	14054	18032
438	14085	18000
439	14117	17968
440	14148	17934
441	14178	17899
442	14209	17866
443	14238	17830
444	14269	17796
445	14300	17763
446	14331	17729
447	14360	17694
448	14396	17667
449	14437	17646
450	14471	17616
451	14503	17584
452	14535	17552
453	14568	17520
454	14600	17488
455	14628	17451
456	14659	17417
457	14687	17381
458	14718	17347
459	14750	17315
460	14779	17280
461	14810	17247
462	14840	17212
463	14871	17179
464	14901	17144
465	14927	17105
466	14958	17072
467	14988	17038
468	15018	17004
469	15049	16970
470	15079	16935
471	15110	16903
472	15140	16869
473	15170	16834
474	15201	16802
475	15231	16767
476	15262	16734
477	15292	16699
478	15323	16667
479	15354	16633
480	15383	16598
481	15417	16568
482	15447	16535
483	15477	16500
484	15513	16472
485	15549	16445
486	15585	16417
487	15616	16384
488	15645	16349
489	15675	16315
490	15704	16279
491	15733	16245
492	15765	16213
493	15796	16180
494	15826	16145
495	15855	16111
496	15886	16078
497	15916	16044
498	15947	16011
499	15978	15978
500	16010	15946
501	16043	15915
502	16078	15887
503	16109	15853
504	16140	15820
505	16170	15786
506	16200	15753
507	16231	15720
508	16264	15688
509	16294	15655
510	16325	15622
511	16355	15588
512	16385	15555
513	16417	15523
514	16449	15491
515	16478	15456
516	16508	15423
517	16538	15388
518	16571	15357
519	16606	15328
520	16643	15302
521	16678	15272
522	16708	15239
523	16737	15204
524	16768	15171
525	16798	15138
526	16828	15103
527	16859	15071
528	16890	15038
529	16919	15004
530	16949	14970
531	16981	14938
532	17011	14905
533	17046	14875
534	17077	14842
535	17107	14809
536	17139	14777
537	17170	14744
538	17199	14710
539	17228	14676
540	17257	14641
541	17290	14610
542	17320	14577
543	17352	14545
544	17382	14511
545	17418	14483
546	17454	14454
547	17484	14421
548	17513	14387
549	17543	14353
550	17581	14326
551	17611	14293
552	17644	14262
553	17674	14228
554	17711	14200
555	17747	14172
556	17781	14142
557	17811	14108
558	17839	14074
559	17870	14041
560	17900	14007
561	17928	13973
562	17960	13940
563	17989	13906
564	18018	13872
565	18048	13839
566	18079	13806
567	18109	13773
568	18138	13739
569	18168	13706
570	18198	13672
571	18229	13640
572	18259	13607
573	18292	13575
574	18321	13542
575	18350	13508
576	18382	13476
577	18416	13445
578	18449	13415
579	18480	13382
580	18508	13347
581	18538	13314
582	18572	13284
583	18604	13252
584	18634	13219
585	18664	13186
586	18695	13153
587	18726	13120
588	18755	13087
589	18787	13055
590	18823	13026
591	18859	12997
592	18891	12965
593	18922	12933
594	18953	12901
595	18982	12867
596	19011	12833
597	19042	12800
598	19074	12769
599	19104	12736
600	19135	12703
601	19166	12671
602	19196	12638
603	19226	12605
604	19257	12573
605	19287	12540
606	19317	12507
607	19348	12474
608	19379	12442
609	19415	12413
610	19448	12382
611	19522	12377
612	19571	12355
613	19601	12322
614	19630	12289
615	19660	12256
616	19689	12222
617	19719	12189
618	19750	12156
619	19783	12125
620	19815	12093
621	19844	12059
622	19873	12026
623	19909	11996
624	19945	11967
625	19979	11936
626	20008	11902
627	20037	11869
628	20066	11835
629	20093	11800
630	20119	11765
631	20146	11730
632	20173	11696
633	20202	11662
634	20227	11626
635	20253	11591
636	20281	11557
637	20307	11522
638	20333	11487
639	20360	11452
640	20389	11419
641	20420	11386
642	20446	11352
643	20472	11317
644	20499	11282
645	20525	11247
646	20557	11216
647	20590	11185
648	20624	11154
649	20653	11120
650	20679	11086
651	20705	11051
652	20731	11016
653	20757	10981
654	20782	10946
655	20808	10912
656	20834	10877
657	20860	10842
658	20887	10808
659	20913	10773
660	20938	10738
661	20964	10704
662	20992	10670
663	21027	10640
664	21061	10609
665	21091	10577
666	21118	10543
667	21144	10509
